mode,unit_or_version,feature,importance
duo,team_full,healsAndBoosts_mean,0.0006394955806631362
duo,team_full,weaponsAcquired_sum,0.0006082608561158054
duo,team_full,topWalkShare,0.0005798686169575337
duo,team_full,DBNOs_max,0.0005232822756609099
duo,team_full,walkDistance_std,0.0004352129179318719
duo,team_full,damagePerKill_mean,0.00040070091588701405
duo,team_full,heals_sum,0.0003708354992153802
duo,team_full,topDamageShare,0.0003556832264076136
duo,team_full,assists_mean,0.00033025634759839464
duo,team_full,combatContribution_mean,0.00027392841331591665
duo,team_full,killEfficiency_mean,0.0002640902838964895
duo,team_full,revives_mean,0.00024892168366038523
duo,team_full,damageDealt_std,0.000246632720456081
duo,team_full,heals_mean,0.00023362851096517874
duo,team_full,healsAndBoosts_sum,0.00022459134649989825
duo,team_full,kills_std,0.00019626003194707372
duo,team_full,DBNOs_std,0.00012595240081703156
duo,team_full,vehicleDestroys_sum,0.00012030861180846653
duo,team_full,weaponsAcquired_std,0.00011629937345085027
duo,team_full,heals_std,0.0001071549238910558
duo,team_full,roadKills_sum,0.00010279060375053544
duo,team_full,heals_max,0.00010022195202261814
duo,team_full,revives_max,7.787623096452897e-05
duo,team_full,killStreaks_sum,6.549025554364222e-05
duo,team_full,topKillShare,5.7922089067947684e-05
duo,team_full,killStreaks_max,3.901518803588308e-05
duo,team_full,headshotRate_mean,2.820464639263702e-05
duo,team_full,killStreaks_mean,1.922281252349093e-05
duo,team_full,assists_std,1.2062226386475607e-05
duo,team_full,revives_std,1.1272091301197686e-05
duo,team_full,headshotKills_mean,9.810821210692558e-06
duo,team_full,groupSize,2.711600036490719e-06
duo,team_full,revives_sum,0.0
duo,team_full,headshotKills_sum,0.0
duo,team_full,fillRatio,0.0
duo,team_full,isFullTeam,0.0
duo,team_full,roadKills_mean,0.0
duo,team_full,vehicleDestroys_mean,0.0
duo,team_full,headshotKills_max,0.0
duo,team_full,assists_max,0.0
squad,team_full,walkDistance_max,0.6113097924221775
squad,team_full,walkDistance_mean,0.06373331913125604
squad,team_full,boosts_sum,0.03402748622610746
squad,team_full,supportActions_mean,0.02667585235263017
squad,team_full,boosts_mean,0.02476361837017261
squad,team_full,longestKill_mean,0.022480147321035485
squad,team_full,rideDistance_std,0.020644229175105687
squad,team_full,boosts_max,0.018220239421158246
squad,team_full,totalDistance_mean,0.015892468330300717
squad,team_full,totalDistance_max,0.013294680569557335
squad,team_full,maxPlace,0.012897268897118525
squad,team_full,kills_mean,0.012219861645257098
squad,team_full,swimDistance_mean,0.012172044972939654
squad,team_full,damageDealt_sum,0.011225201675489195
squad,team_full,damageDealt_mean,0.008734495877065103
squad,team_full,rideDistance_mean,0.007851474068503598
squad,team_full,damageDealt_max,0.0070041214318806
squad,team_full,topWalkShare,0.006258673797324963
squad,team_full,walkDistance_sum,0.005718928731552486
squad,team_full,DBNOs_mean,0.005656546664103971
squad,team_full,longestKill_max,0.005012886648926901
squad,team_full,DBNOs_sum,0.00495828492296247
squad,team_full,boosts_std,0.00471700896953422
squad,team_full,rideDistance_max,0.004432469830448941
squad,team_full,kills_sum,0.00422876943901444
squad,team_full,weaponsAcquired_mean,0.003912928038894434
squad,team_full,swimDistance_max,0.003270533250247133
squad,team_full,heals_mean,0.0032356847018946504
squad,team_full,heals_sum,0.00303658086124497
squad,team_full,teamKills_mean,0.0030232658999768567
squad,team_full,boostHealRatio_mean,0.002395320211552066
squad,team_full,walkDistance_std,0.0021367067813369265
squad,team_full,perspectiveIndex,0.0011116067550780073
squad,team_full,damagePerKill_mean,0.0009952751937528973
squad,team_full,swimDistance_sum,0.0009371565158352328
squad,team_full,topBoostShare,0.0008662932915547214
squad,team_full,totalDistance_sum,0.0007842098933987978
squad,team_full,heals_max,0.0007805960682062847
squad,team_full,assists_mean,0.0006769426331202979
squad,team_full,kills_std,0.0005942013286594096
squad,team_full,totalDistance_std,0.0005874606820729
squad,team_full,numGroups,0.0005670990670539195
squad,team_full,weaponsAcquired_sum,0.0005392353982180723
squad,team_full,healsAndBoosts_sum,0.0005356353765177307
squad,team_full,healsAndBoosts_mean,0.0005264011162075433
squad,team_full,damageDealt_std,0.0005089895780910082
squad,team_full,teamKills_sum,0.0004752038402774391
squad,team_full,vehicleDestroys_sum,0.00042178415821609227
squad,team_full,DBNOs_max,0.00040924498424865216
squad,team_full,weaponsAcquired_max,0.0003086603164477833
squad,team_full,assists_sum,0.0003004018046119672
squad,team_full,revives_sum,0.00028895535585826313
squad,team_full,kills_max,0.00025805232283716985
squad,team_full,killEfficiency_mean,0.00024942051242421085
squad,team_full,revives_std,0.00023022356861905703
squad,team_full,topKillShare,0.00021494520498016551
squad,team_full,groupSize,0.00020951818034346115
squad,team_full,heals_std,0.00019631473145263398
squad,team_full,headshotKills_mean,0.00017307738158073922
squad,team_full,assists_std,0.00016983183052493488
squad,team_full,headshotKills_sum,0.00014562690161387803
squad,team_full,vehicleDestroys_mean,0.00014136170781922029
squad,team_full,revives_mean,0.00013042380473872288
squad,team_full,combatContribution_sum,9.538784362250952e-05
squad,team_full,weaponsAcquired_std,7.399215198439143e-05
squad,team_full,topDamageShare,6.987812219375836e-05
squad,team_full,headshotRate_mean,6.50333307436884e-05
squad,team_full,killStreaks_mean,4.952028326915576e-05
squad,team_full,combatContribution_mean,4.320936572125142e-05
squad,team_full,isFullTeam,4.3065733005569466e-05
squad,team_full,roadKills_sum,3.639564359666455e-05
squad,team_full,supportActions_sum,2.72874229786857e-05
squad,team_full,killStreaks_sum,2.1189961752546668e-05
squad,team_full,rideDistance_sum,0.0
squad,team_full,fillRatio,0.0
squad,team_full,roadKills_mean,0.0
squad,team_full,assists_max,0.0
squad,team_full,headshotKills_max,0.0
squad,team_full,revives_max,0.0
squad,team_full,killStreaks_max,0.0
squad,team_full,DBNOs_std,0.0
