mode,basic_MAE,full_MAE,MAE_improvement,basic_RMSE,full_RMSE,RMSE_improvement,basic_R2,full_R2,R2_improvement
duo,0.07662286920920118,0.07442155526425864,0.0022013139449425373,0.09885351149963596,0.09583583085665817,0.003017680642977791,0.8862581878984253,0.8930965390174553,0.006838351119030084
squad,0.0885218706596922,0.08459889178763862,0.00392297887205359,0.11400927355778949,0.10913123071412695,0.004878042843662542,0.848872696313292,0.8615284087349832,0.012655712421691168
