mode,unit_or_version,model,accuracy,precision,recall,f1,roc_auc,pr_auc
duo,team_full,GBTClassifier,0.9063323268128309,0.8280884896671016,0.8441763341067285,0.8360550261956554,0.9671791194811107,0.9176977759234233
duo,team_full,Logistic Regression baseline,0.9059822327250449,0.8434267892944658,0.819891724671307,0.8314927527138105,0.9662092562181003,0.9112701756059343
solo,player,GBTClassifier,0.9058515803652539,0.8303452546833875,0.8038610270092029,0.8168885368751333,0.964307455961993,0.906178963611295
solo,player,Logistic Regression baseline,0.9046220593302634,0.8431626701231367,0.7799994004616445,0.8103520764882666,0.9627705301436043,0.8981104317739529
squad,team_full,GBTClassifier,0.8812728904411943,0.8019453485731587,0.8230016313213703,0.8123370648673515,0.9527615241076498,0.8952888016340063
squad,team_full,Logistic Regression baseline,0.8817337311115963,0.820213021542404,0.7956187368911676,0.8077287066246057,0.951806427765515,0.8882890731625186
