mode,k,silhouette
solo,3,0.4075620832487259
solo,4,0.4295328412393046
solo,5,0.43206487414006256
solo,6,0.4314473650348513
solo,7,0.43247116949536335
solo,8,0.44783980995282535
duo,3,0.3374787711854434
duo,4,0.2661551668712989
duo,5,0.2759517540543453
duo,6,0.2763364422492304
duo,7,0.221463279634446
duo,8,0.2317742593611585
squad,3,0.3487684265375967
squad,4,0.24458357902081146
squad,5,0.26744867025988217
squad,6,0.2338352904266741
squad,7,0.21690819609281992
squad,8,0.22132230916073195
